text,SCORE,GRADE,name,matched_name,DBA,review_stars
Amazing staff . Menu is on point . Thank you for bringing this bar to Channelside. Highly recommend the Channelside Pizza and the dark chocolate sangria. It's a great time for people of all background and taste .,14,B,La La’s Sangria Bar,La La’s Sangria Bar,La La’s Sangria Bar,5.0
"So to start, I should let you know that I haven't been here drunk or grabbed a burger so I obviously don't know what the heck I'm talking about!

I stopped in to Fresh Mouth to get their french fries. I had them when one of my friends got take out. They were so delicious I think I had dreams about them. This isn't unusual for somebody who should most likely be in P.A., you know Potatoes Anonymous. I ended up ordering the Numbskull Club. It's turkey, bacon, ham cheese,  lettuce, tomato smothered in secret sauce and held together between two pieces of texas toast. I have to say it was super messy and I'm sure I looked like slob eating it but I'd do it again, possibly on a first date. In order words, it was really delicious. The fries are to die for. They are seasoned crinkle fries (which I think is the least appreciated type of fry). A bonus is the sandwich leaks special sauce which is great for dipping your fries in.

They have Blue Bell ice cream to make milk shakes. If I weren't so full I would have given it a try. They hand spin them so I'm willing to bet they are delish!

Fresh mouth isn't fine dining and I can't speak to the burgers but I loved the food. I'll be going back.... probably intoxicated so I can understand what Collin is talking about.",26,B,Fresh Mouth,Fresh Mouth,Fresh M0uth,4.0
"Drive down Armenia Avenue and in between the Colombian and Cuban restaurants, you will find Chifa Gino's. Blink, and you may miss it. 

Chifa Gino's specializes in Chifa dishes which are a mix of Chinese and Peruvian cuisine. The most popular dish is the Arroz de Chaufa, which basically is fried rice made with eggs, vegetables, and meat. Much of Peruvian cuisine is highly influenced by the large number of Chinese immigrants that migrated there in the mid 1800s. 

The ambiance doesn't exactly scream fine dining but the food quality and large portions make up for it. 

I ordered a lunch special for $7.99 which included a beverage (I ordered an Inca Kola, of course), fried wontons, and the Arroz Chaufa de Pollo (Chicken Fried Rice). My boss ordered the Tilapia Ceviche.

The fried wontons were light, fluffy, and delicious. The Chicken Fried Rice was even better. The portion was huge. I was able to take some home and have it for a midnight snack, breakfast, and lunch the next day! $7.99 for four meals for me is a steal! 

My boss enjoyed his ceviche and even said it was better than a restaurant's that we frequently dine at when we work together. 

Parking is VERY LIMITED here and the restaurant shares the lot with a neighboring Columbian restaurant, so try to get to the restaurant early. Peruvians don't normally eat until 1-2, or so I have been told.

I will definitely return to dine here just for the meal value and huge portions!",25,B,Chifa Gino's,Chifa Gino's,Chif@ Gino's,4.0
"Great cheap eats in S. Tampa.  If you're in the market for no frills diner food, as I was, this'll do the job",20,B,Mamas Kitchen,Mamas Kitchen,Mamas Kitchen,4.0
"If I can give it a zero I would

I don't live more than six minutes away from this place and I chose delivery and so and so person I'm not saying their name

Grab my order and left at 6:58 PM and I didn't get my food until 7:40 pm I sat on the phone for more than 20 minutes almost trying to speak to somebody and nobody would answer the phone this place is a joke and customer number service is ass , never ever again ordering from this place that's why I stay true to Pizza Hut 

After 20 minutes and multiple phones calling the same place they finally answered one of our phones and their excuse is our driver has more than seven deliveries who the hell grabs more than seven deliveries and goes the most farthest place and then leave us for last when we're not even six minutes away thanks to them we got are food cold as hell. And the funny part is we ordered first then anybody else because that's what the lady told us so once again if I can give this place a zero I would",33,C,Domino's Pizza,Domino's Pizza,Domino's Pizz@,1.0
"I don't know where these positive reviews came from but here's my experience:
1.Front desk blonde Cuban lady is rude. She looks so miserable at her job and she's working with customers. Please atleast fake a smile.
2. Mongo is soft. However, no flavor very bland and the meat on the side was very hard/dry with NO flavor.
3. The amount of rice you get is like a kids meal. The red beans was all liquid and maybe 10-15 beans inside the cup. No flavor literally tasted like water and salt.
4. Sweet plantains weren't ripe.
5. Arroz con gandulez was soft but bland and the pork chops that I ordered on the side were super crunchy and hard to the point where I felt like my mouth was being scraped.

But you know what I give to them?! Their mayoketchup was bomb I put that on everything!!! That's how you know the food was terrible. Please go to MARTIN BBQ on Waters Ave for better quality and quantity!",16,B,Tito's Latin Kitchen,Tito's Latin Kitchen,Tit0's Latin Kitchen,1.0
"People always want to put this location down, but it has really really good Chinese food and it's kind of in a weird area but it's really really good.",20,B,Peking,Peking,P3king,5.0
"If you are in Tampa and you want a gret burger this is the place to be.

Great Burgers! n Great Rings!  Great Frys!  Great Service!  We had lunch and the food was awesome!  Need to get back there at happy hour if I am ever back down there in the area..",23,B,Hamburger Mary's,Hamburger Mary's,Hamburger Mar,5.0
"My arugula, goat cheese and pear salad was amazing, banging cuban bread, and the black beans were to die for too! Why only 3 estrellas? Se le fue la mano señor! I was so looking forward to the steak and the escargot appetizer but....the filet was SO salty that it made my tongue shrivel and the escargot was oilier than it looked in the pictures. I was so disappointed because everything else was great!  The service was on point and the building is gorgeous. The quality of the food is absolutely stellar, really awesome. Next time, no kosher salt please, I want to taste that grade A meatly goodness- that's why Carne finds the best cut, now flaunt it!",11,A,Ybor Chophouse,Ybor Chophouse,ybor chophouse,3.0
"Just terrible.  From the pushy waiter who acted like he was overwhelmingly busy with only 2 tables, to the bad water, dirty plates, small portions, and lousy food.  I'll never go back, not even if it was free.  I'm just glad the food didn't make me sick.",39,C,Jasmine Thai Restaurant,Jasmine Thai Restaurant,jasmine thai restaurant,1.0
