text,SCORE,GRADE,name,matched_name,DBA,review_stars,bert_sentiment
We have been here many times. Good food at reasonable prices. Friendly efficient service. If you want a  fast meal this is a good brand. Has a playground. Only chicken  based foods. Nice large salads,12,A,Chick-fil-A,Chick-fil-A,Chick-fil-A,3.0,POSITIVE
Love the food. It is a small but quaint space. They have boba tea and also love the pad Thai. Great place.,0,A,Thai 5 Fast Food,Thai 5 Fast Food,thai 5 fast food,5.0,POSITIVE
Love the place. Worth the hour drive and will be back. The service was on point and more importantly the food was fantastic. The atmosphere was definitely a feel good Sunday vibe. Highly recommend this spot. Each dish was unique the chef has added his own flair to dishes and each bite was perfect. Everyone was super nice as well. You need to try this place. From the cocktails to the food to the music it was all worth it. We will be back.,15,B,Burnz Restaurant Bar & Grill,Burnz Restaurant Bar & Grill,Burnz Rest@ur@nt B@r & Grill,5.0,POSITIVE
"Feb 2018- I must continue to rave about this restaurant. Now- Old Heights Bistro is small and quaint and similar to tiny NYC restaurants. If you are looking for flashy, go elsewhere. Their flash and sparkle is their food.  The restaurant is the BEST in Seminole Heights as far as I am concerned. I would give Heights Bistro 10 stars if that was possible. The food is spot on, and I have eaten in this establishment many more times than I have checked in- and I have never had a bad experience. The seafood gumbo is outstanding, the burger is the BEST in Tampa and the service is wonderful. Natalia is just amazing and can handle the dining room single handedly. I have to give it to the owners. They have nailed what having a quality product and an amazing business is all about. Walk do not run, to this restaurant if you have not tried it yet. They also serve breakfast, and Brunch in Sunday's! 


We were invited to lunch by a local friend who is a realtor in Seminole Heights and he frequents the establishment often. I believe that it used to be Reservations to Go.

It is a small restaurant with a nice menu that also included sushi!

I ordered the burger with a large side of pasta and my lunch mates had a po-boy and the meatball sub.

The food was fantastic. The burger was so flavorful and I had it medium well with Swiss cheese, pickle, lettuce, tomato and onion. Delicious!!!!

The pasta salad is also delightful. Cooked al dente with black olives, sun dried tomato and basil- yummy.

The po-boy and the meatball sub was also delicious according to my guests.

The service was lovely and speedy as well.  We finished lunch off with a slice of carrot cake which I have to say- is to die for.

Excellent lunch experience and just another great eating establishment in Seminole Heights!!! 

Since starting this review I have frequented this restaurant often! The food is always delightful!",28,C,The Olde Heights Bistro,The Olde Heights Bistro,the olde heights bistro,5.0,POSITIVE
Awesome pizza. I have this at least 3 times a week! So crunchy and the sauce and cheese is so fresh.,36,C,The Corners,The Corners,The Corners,5.0,POSITIVE
Gave them one star because I couldn't give them a zero. Slowest service I have ever experienced. Waited 30 minutes at the drive thru to be served and they got the order wrong. Food was poorly prepared. Staff was dismissive. This has happened too many times for us at a number of Long John Silvers. Last time we will go. Ever.,24,B,Long John Silver's,Long John Silver's,L0ng J0hn Silver's,1.0,NEGATIVE
"Whenever I'm in Tampa and staying at the Hard Rock Hotel and Casino, there's one thing that is an absolute MUST....besides throwing my hard earned money into the slot machines, that is. I have to pay a visit to Constant Grind, and get one of my all-time favorite desserts. It is luscious, it is decadent, and it is called the Chocolate Hazelnut Crunch. Light, airy espresso cream between several thin layers of fudgy chocolate cake and covered in chocolate ganache and crunchy hazelnuts. It's fashioned as a torte, and I'm not sure if one would call it a cake or a torte, but to me, it's simply one of the best desserts I've ever had...to the point that I recommend it to other patrons standing in line who are first-timers and undecided. If you've never had it, definitely get it, trust me.

Honorable mention goes to the Cannoli Cheesecake, which is also scrumptious, topped with 2 mini cannolis dipped in chocolate and pistachios. Constant Grind caters to sweet lovers of all types, serving up varieties of fudge, baked goods, gelatos, beautiful chocolates, and even macarons. On the savory side, they also offer various selections of tempting sandwiches and coffee beverages. 

I always take my dessert to go and devour in the comfort of my hotel room while binge-watching some random crime show. Constant Grind is easily one of the best parts of The Hard Rock Tampa, and it's great that they're open until 11pm to satisfy those late-night sweet cravings. Last but not least, a big thank you goes out to the staff for always giving such great service on every visit!

Till next time, my fellow Yeeps, support your local eats and businesses, and as always....SYOY!",5,A,Constant Grind - Seminole Hard Rock Tampa,Constant Grind - Seminole Hard Rock Tampa,C0nstant Grind - Semin0le Hard R0ck Tampa,5.0,POSITIVE
"I was visiting Tampa this weekend with some friends and we decided to try Streetcar Charlie's.  The location was great with nice views of the street car line and the atmosphere inside was light and airy in the main dinning room but very dark in the bar area where we were seated.  The menu left something to be desired.  There were salads, burgers and sandwiches as well as some higher priced entrees but everyone in my group of 5 had trouble finding something that sounded good.  We decided to go on the lighter side ordering some appetizers, a cuban sandwich and chicken salad.  None of the meals were anything special.  The cuban sandwich was heavy on the mayo, light on the meat and cheese.  The salad was ordinary and the appetizers came out cold.  Unfortunately, we later discovered that the appetizers were probably undercooked because later that evening, those that ate the crab cakes came down with a nasty case of food poisoning.  Not exactly a great way to make a good impression for a dining establishment.  The surrounding area is home to all kinds of pubs and restaurants, my recommendation is to look elsewhere and skip Streetcar Charlie's.  I know none of us will go back.",30,C,Streetcar Charlie's Bar & Grille,Streetcar Charlie's Bar & Grille,Streetcar Charlie's Bar & Grille,1.0,NEGATIVE
"Incredible service, AMAZING MOUTH WATERING FOOD, and great value for price! I would go back there everyday to eat!",14,B,Open Cafe,Open Cafe,Open Cafe,5.0,POSITIVE
"Absolutely the best Caribbean food in Tampa hands down.  Not to mention the vast knowledge Cehpa himself possess regarding living a healthy lifestyle, this establishment is a staple of not only Ybor City but all of Tampa!",0,A,Cephas' Hot Shop,Cephas' Hot Shop,Cephas' H0t Sh0p,5.0,POSITIVE
